code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
062G,6,2,G,Intermediate Care,Inpatient (Part B),62,CWF Initiated Adjustment Claim
072G,7,2,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,CWF Initiated Adjustment Claim
082G,8,2,G,Special facility or hospital,Hospice (hospital based),82,CWF Initiated Adjustment Claim
092G,9,2,G,Reserved for National Assignment,Inpatient (Part B),92,CWF Initiated Adjustment Claim
013G,1,3,G,Hospital,Outpatient,13,CWF Initiated Adjustment Claim
023G,2,3,G,Skilled Nursing Facility (SNF),Outpatient,23,CWF Initiated Adjustment Claim
033G,3,3,G,Home Health,Outpatient,33,CWF Initiated Adjustment Claim
043G,4,3,G,Religious Nonmedical (Hospital),Outpatient,43,CWF Initiated Adjustment Claim
053G,5,3,G,Religious Nonmedical (Extended Care),Outpatient,53,CWF Initiated Adjustment Claim
063G,6,3,G,Intermediate Care,Outpatient,63,CWF Initiated Adjustment Claim
073G,7,3,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,CWF Initiated Adjustment Claim
083G,8,3,G,Special facility or hospital,ASC Services to Hospital Outpatients,83,CWF Initiated Adjustment Claim
093G,9,3,G,Reserved for National Assignment,Outpatient,93,CWF Initiated Adjustment Claim
014G,1,4,G,Hospital,Other (Part B),14,CWF Initiated Adjustment Claim
024G,2,4,G,Skilled Nursing Facility (SNF),Other (Part B),24,CWF Initiated Adjustment Claim
034G,3,4,G,Home Health,Other (Part B),34,CWF Initiated Adjustment Claim
044G,4,4,G,Religious Nonmedical (Hospital),Other (Part B),44,CWF Initiated Adjustment Claim
054G,5,4,G,Religious Nonmedical (Extended Care),Other (Part B),54,CWF Initiated Adjustment Claim
064G,6,4,G,Intermediate Care,Other (Part B),64,CWF Initiated Adjustment Claim
074G,7,4,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,CWF Initiated Adjustment Claim
084G,8,4,G,Special facility or hospital,Free Standing Birthing Center,84,CWF Initiated Adjustment Claim
094G,9,4,G,Reserved for National Assignment,Other (Part B),94,CWF Initiated Adjustment Claim
015G,1,5,G,Hospital,Intermediate Care - Level I,15,CWF Initiated Adjustment Claim
025G,2,5,G,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,CWF Initiated Adjustment Claim
035G,3,5,G,Home Health,Intermediate Care - Level I,35,CWF Initiated Adjustment Claim
045G,4,5,G,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,CWF Initiated Adjustment Claim
055G,5,5,G,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,CWF Initiated Adjustment Claim
065G,6,5,G,Intermediate Care,Intermediate Care - Level I,65,CWF Initiated Adjustment Claim
075G,7,5,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,CWF Initiated Adjustment Claim
085G,8,5,G,Special facility or hospital,Critical Access Hospital (CAH),85,CWF Initiated Adjustment Claim
095G,9,5,G,Reserved for National Assignment,Intermediate Care - Level I,95,CWF Initiated Adjustment Claim
016G,1,6,G,Hospital,Intermediate Care - Level II,16,CWF Initiated Adjustment Claim
026G,2,6,G,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,CWF Initiated Adjustment Claim
036G,3,6,G,Home Health,Intermediate Care - Level II,36,CWF Initiated Adjustment Claim
046G,4,6,G,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,CWF Initiated Adjustment Claim
056G,5,6,G,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,CWF Initiated Adjustment Claim
066G,6,6,G,Intermediate Care,Intermediate Care - Level II,66,CWF Initiated Adjustment Claim
076G,7,6,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,CWF Initiated Adjustment Claim
086G,8,6,G,Special facility or hospital,Residential Facility,86,CWF Initiated Adjustment Claim
096G,9,6,G,Reserved for National Assignment,Intermediate Care - Level II,96,CWF Initiated Adjustment Claim
017G,1,7,G,Hospital,Subacute Inpatient,17,CWF Initiated Adjustment Claim
027G,2,7,G,Skilled Nursing Facility (SNF),Subacute Inpatient,27,CWF Initiated Adjustment Claim
037G,3,7,G,Home Health,Subacute Inpatient,37,CWF Initiated Adjustment Claim
047G,4,7,G,Religious Nonmedical (Hospital),Subacute Inpatient,47,CWF Initiated Adjustment Claim
057G,5,7,G,Religious Nonmedical (Extended Care),Subacute Inpatient,57,CWF Initiated Adjustment Claim
067G,6,7,G,Intermediate Care,Subacute Inpatient,67,CWF Initiated Adjustment Claim
077G,7,7,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,CWF Initiated Adjustment Claim
087G,8,7,G,Special facility or hospital,Reserved for National Assignment,87,CWF Initiated Adjustment Claim
097G,9,7,G,Reserved for National Assignment,Subacute Inpatient,97,CWF Initiated Adjustment Claim
018G,1,8,G,Hospital,Reserved for National Assignment,18,CWF Initiated Adjustment Claim
028G,2,8,G,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,CWF Initiated Adjustment Claim
038G,3,8,G,Home Health,Reserved for National Assignment,38,CWF Initiated Adjustment Claim
048G,4,8,G,Religious Nonmedical (Hospital),Reserved for National Assignment,48,CWF Initiated Adjustment Claim
058G,5,8,G,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,CWF Initiated Adjustment Claim
068G,6,8,G,Intermediate Care,Reserved for National Assignment,68,CWF Initiated Adjustment Claim
078G,7,8,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,CWF Initiated Adjustment Claim
088G,8,8,G,Special facility or hospital,Reserved for National Assignment,88,CWF Initiated Adjustment Claim
098G,9,8,G,Reserved for National Assignment,Reserved for National Assignment,98,CWF Initiated Adjustment Claim
019G,1,9,G,Hospital,Reserved for National Assignment,19,CWF Initiated Adjustment Claim
029G,2,9,G,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,CWF Initiated Adjustment Claim
039G,3,9,G,Home Health,Reserved for National Assignment,39,CWF Initiated Adjustment Claim
049G,4,9,G,Religious Nonmedical (Hospital),Reserved for National Assignment,49,CWF Initiated Adjustment Claim
059G,5,9,G,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,CWF Initiated Adjustment Claim
069G,6,9,G,Intermediate Care,Reserved for National Assignment,69,CWF Initiated Adjustment Claim
079G,7,9,G,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,CWF Initiated Adjustment Claim
089G,8,9,G,Special facility or hospital,Other,89,CWF Initiated Adjustment Claim
099G,9,9,G,Reserved for National Assignment,Reserved for National Assignment,99,CWF Initiated Adjustment Claim
011H,1,1,H,Hospital,Inpatient (Part A),11,CMS Initiated Adjustment Claim
021H,2,1,H,Skilled Nursing Facility (SNF),Inpatient (Part A),21,CMS Initiated Adjustment Claim
031H,3,1,H,Home Health,Inpatient (Part A),31,CMS Initiated Adjustment Claim
041H,4,1,H,Religious Nonmedical (Hospital),Inpatient (Part A),41,CMS Initiated Adjustment Claim
051H,5,1,H,Religious Nonmedical (Extended Care),Inpatient (Part A),51,CMS Initiated Adjustment Claim
061H,6,1,H,Intermediate Care,Inpatient (Part A),61,CMS Initiated Adjustment Claim
071H,7,1,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,CMS Initiated Adjustment Claim
081H,8,1,H,Special facility or hospital,Hospice (non-hospital based),81,CMS Initiated Adjustment Claim
091H,9,1,H,Reserved for National Assignment,Inpatient (Part A),91,CMS Initiated Adjustment Claim
012H,1,2,H,Hospital,Inpatient (Part B),12,CMS Initiated Adjustment Claim
022H,2,2,H,Skilled Nursing Facility (SNF),Inpatient (Part B),22,CMS Initiated Adjustment Claim
032H,3,2,H,Home Health,Inpatient (Part B),32,CMS Initiated Adjustment Claim
042H,4,2,H,Religious Nonmedical (Hospital),Inpatient (Part B),42,CMS Initiated Adjustment Claim
052H,5,2,H,Religious Nonmedical (Extended Care),Inpatient (Part B),52,CMS Initiated Adjustment Claim
062H,6,2,H,Intermediate Care,Inpatient (Part B),62,CMS Initiated Adjustment Claim
072H,7,2,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,CMS Initiated Adjustment Claim
082H,8,2,H,Special facility or hospital,Hospice (hospital based),82,CMS Initiated Adjustment Claim
092H,9,2,H,Reserved for National Assignment,Inpatient (Part B),92,CMS Initiated Adjustment Claim
013H,1,3,H,Hospital,Outpatient,13,CMS Initiated Adjustment Claim
023H,2,3,H,Skilled Nursing Facility (SNF),Outpatient,23,CMS Initiated Adjustment Claim
033H,3,3,H,Home Health,Outpatient,33,CMS Initiated Adjustment Claim
043H,4,3,H,Religious Nonmedical (Hospital),Outpatient,43,CMS Initiated Adjustment Claim
053H,5,3,H,Religious Nonmedical (Extended Care),Outpatient,53,CMS Initiated Adjustment Claim
063H,6,3,H,Intermediate Care,Outpatient,63,CMS Initiated Adjustment Claim
073H,7,3,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,CMS Initiated Adjustment Claim
083H,8,3,H,Special facility or hospital,ASC Services to Hospital Outpatients,83,CMS Initiated Adjustment Claim
093H,9,3,H,Reserved for National Assignment,Outpatient,93,CMS Initiated Adjustment Claim
014H,1,4,H,Hospital,Other (Part B),14,CMS Initiated Adjustment Claim
024H,2,4,H,Skilled Nursing Facility (SNF),Other (Part B),24,CMS Initiated Adjustment Claim
034H,3,4,H,Home Health,Other (Part B),34,CMS Initiated Adjustment Claim
044H,4,4,H,Religious Nonmedical (Hospital),Other (Part B),44,CMS Initiated Adjustment Claim
054H,5,4,H,Religious Nonmedical (Extended Care),Other (Part B),54,CMS Initiated Adjustment Claim
064H,6,4,H,Intermediate Care,Other (Part B),64,CMS Initiated Adjustment Claim
074H,7,4,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,CMS Initiated Adjustment Claim
084H,8,4,H,Special facility or hospital,Free Standing Birthing Center,84,CMS Initiated Adjustment Claim
094H,9,4,H,Reserved for National Assignment,Other (Part B),94,CMS Initiated Adjustment Claim
015H,1,5,H,Hospital,Intermediate Care - Level I,15,CMS Initiated Adjustment Claim
025H,2,5,H,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,CMS Initiated Adjustment Claim
035H,3,5,H,Home Health,Intermediate Care - Level I,35,CMS Initiated Adjustment Claim
045H,4,5,H,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,CMS Initiated Adjustment Claim
055H,5,5,H,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,CMS Initiated Adjustment Claim
065H,6,5,H,Intermediate Care,Intermediate Care - Level I,65,CMS Initiated Adjustment Claim
075H,7,5,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,CMS Initiated Adjustment Claim
085H,8,5,H,Special facility or hospital,Critical Access Hospital (CAH),85,CMS Initiated Adjustment Claim
095H,9,5,H,Reserved for National Assignment,Intermediate Care - Level I,95,CMS Initiated Adjustment Claim
016H,1,6,H,Hospital,Intermediate Care - Level II,16,CMS Initiated Adjustment Claim
026H,2,6,H,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,CMS Initiated Adjustment Claim
036H,3,6,H,Home Health,Intermediate Care - Level II,36,CMS Initiated Adjustment Claim
046H,4,6,H,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,CMS Initiated Adjustment Claim
056H,5,6,H,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,CMS Initiated Adjustment Claim
066H,6,6,H,Intermediate Care,Intermediate Care - Level II,66,CMS Initiated Adjustment Claim
076H,7,6,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,CMS Initiated Adjustment Claim
086H,8,6,H,Special facility or hospital,Residential Facility,86,CMS Initiated Adjustment Claim
096H,9,6,H,Reserved for National Assignment,Intermediate Care - Level II,96,CMS Initiated Adjustment Claim
017H,1,7,H,Hospital,Subacute Inpatient,17,CMS Initiated Adjustment Claim
027H,2,7,H,Skilled Nursing Facility (SNF),Subacute Inpatient,27,CMS Initiated Adjustment Claim
037H,3,7,H,Home Health,Subacute Inpatient,37,CMS Initiated Adjustment Claim
047H,4,7,H,Religious Nonmedical (Hospital),Subacute Inpatient,47,CMS Initiated Adjustment Claim
057H,5,7,H,Religious Nonmedical (Extended Care),Subacute Inpatient,57,CMS Initiated Adjustment Claim
067H,6,7,H,Intermediate Care,Subacute Inpatient,67,CMS Initiated Adjustment Claim
077H,7,7,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,CMS Initiated Adjustment Claim
087H,8,7,H,Special facility or hospital,Reserved for National Assignment,87,CMS Initiated Adjustment Claim
097H,9,7,H,Reserved for National Assignment,Subacute Inpatient,97,CMS Initiated Adjustment Claim
018H,1,8,H,Hospital,Reserved for National Assignment,18,CMS Initiated Adjustment Claim
028H,2,8,H,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,CMS Initiated Adjustment Claim
038H,3,8,H,Home Health,Reserved for National Assignment,38,CMS Initiated Adjustment Claim
048H,4,8,H,Religious Nonmedical (Hospital),Reserved for National Assignment,48,CMS Initiated Adjustment Claim
058H,5,8,H,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,CMS Initiated Adjustment Claim
068H,6,8,H,Intermediate Care,Reserved for National Assignment,68,CMS Initiated Adjustment Claim
078H,7,8,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,CMS Initiated Adjustment Claim
088H,8,8,H,Special facility or hospital,Reserved for National Assignment,88,CMS Initiated Adjustment Claim
098H,9,8,H,Reserved for National Assignment,Reserved for National Assignment,98,CMS Initiated Adjustment Claim
019H,1,9,H,Hospital,Reserved for National Assignment,19,CMS Initiated Adjustment Claim
029H,2,9,H,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,CMS Initiated Adjustment Claim
039H,3,9,H,Home Health,Reserved for National Assignment,39,CMS Initiated Adjustment Claim
049H,4,9,H,Religious Nonmedical (Hospital),Reserved for National Assignment,49,CMS Initiated Adjustment Claim
059H,5,9,H,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,CMS Initiated Adjustment Claim
069H,6,9,H,Intermediate Care,Reserved for National Assignment,69,CMS Initiated Adjustment Claim
079H,7,9,H,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,CMS Initiated Adjustment Claim
089H,8,9,H,Special facility or hospital,Other,89,CMS Initiated Adjustment Claim
099H,9,9,H,Reserved for National Assignment,Reserved for National Assignment,99,CMS Initiated Adjustment Claim
011I,1,1,I,Hospital,Inpatient (Part A),11,FI Adjustment Claim (Other than QIO or Provider)
021I,2,1,I,Skilled Nursing Facility (SNF),Inpatient (Part A),21,FI Adjustment Claim (Other than QIO or Provider)
031I,3,1,I,Home Health,Inpatient (Part A),31,FI Adjustment Claim (Other than QIO or Provider)
041I,4,1,I,Religious Nonmedical (Hospital),Inpatient (Part A),41,FI Adjustment Claim (Other than QIO or Provider)
051I,5,1,I,Religious Nonmedical (Extended Care),Inpatient (Part A),51,FI Adjustment Claim (Other than QIO or Provider)
061I,6,1,I,Intermediate Care,Inpatient (Part A),61,FI Adjustment Claim (Other than QIO or Provider)
071I,7,1,I,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,FI Adjustment Claim (Other than QIO or Provider)
081I,8,1,I,Special facility or hospital,Hospice (non-hospital based),81,FI Adjustment Claim (Other than QIO or Provider)
091I,9,1,I,Reserved for National Assignment,Inpatient (Part A),91,FI Adjustment Claim (Other than QIO or Provider)
012I,1,2,I,Hospital,Inpatient (Part B),12,FI Adjustment Claim (Other than QIO or Provider)
022I,2,2,I,Skilled Nursing Facility (SNF),Inpatient (Part B),22,FI Adjustment Claim (Other than QIO or Provider)
032I,3,2,I,Home Health,Inpatient (Part B),32,FI Adjustment Claim (Other than QIO or Provider)
042I,4,2,I,Religious Nonmedical (Hospital),Inpatient (Part B),42,FI Adjustment Claim (Other than QIO or Provider)
052I,5,2,I,Religious Nonmedical (Extended Care),Inpatient (Part B),52,FI Adjustment Claim (Other than QIO or Provider)
062I,6,2,I,Intermediate Care,Inpatient (Part B),62,FI Adjustment Claim (Other than QIO or Provider)
072I,7,2,I,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,FI Adjustment Claim (Other than QIO or Provider)
